,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,BBANDS_5days_1.5STD_upper,BBANDS_5days_1.5STD_middle,BBANDS_5days_1.5STD_lower,BBANDS_5days_2STD_upper,BBANDS_5days_2STD_middle,BBANDS_5days_2STD_lower,BBANDS_5days_2.5STD_upper,BBANDS_5days_2.5STD_middle,BBANDS_5days_2.5STD_lower,BBANDS_10days_1.5STD_upper,BBANDS_10days_1.5STD_middle,BBANDS_10days_1.5STD_lower,BBANDS_10days_2STD_upper,BBANDS_10days_2STD_middle,BBANDS_10days_2STD_lower,BBANDS_10days_2.5STD_upper,BBANDS_10days_2.5STD_middle,BBANDS_10days_2.5STD_lower,BBANDS_30days_1.5STD_upper,BBANDS_30days_1.5STD_middle,BBANDS_30days_1.5STD_lower,BBANDS_30days_2STD_upper,BBANDS_30days_2STD_middle,BBANDS_30days_2STD_lower,BBANDS_30days_2.5STD_upper,BBANDS_30days_2.5STD_middle,BBANDS_30days_2.5STD_lower,BBANDS_90days_1.5STD_upper,BBANDS_90days_1.5STD_middle,BBANDS_90days_1.5STD_lower,BBANDS_90days_2STD_upper,BBANDS_90days_2STD_middle,BBANDS_90days_2STD_lower,BBANDS_90days_2.5STD_upper,BBANDS_90days_2.5STD_middle,BBANDS_90days_2.5STD_lower,BBANDS_180days_1.5STD_upper,BBANDS_180days_1.5STD_middle,BBANDS_180days_1.5STD_lower,BBANDS_180days_2STD_upper,BBANDS_180days_2STD_middle,BBANDS_180days_2STD_lower,BBANDS_180days_2.5STD_upper,BBANDS_180days_2.5STD_middle,BBANDS_180days_2.5STD_lower,BBANDS_270days_1.5STD_upper,BBANDS_270days_1.5STD_middle,BBANDS_270days_1.5STD_lower,BBANDS_270days_2STD_upper,BBANDS_270days_2STD_middle,BBANDS_270days_2STD_lower,BBANDS_270days_2.5STD_upper,BBANDS_270days_2.5STD_middle,BBANDS_270days_2.5STD_lower,BBANDS_365days_1.5STD_upper,BBANDS_365days_1.5STD_middle,BBANDS_365days_1.5STD_lower,BBANDS_365days_2STD_upper,BBANDS_365days_2STD_middle,BBANDS_365days_2STD_lower,BBANDS_365days_2.5STD_upper,BBANDS_365days_2.5STD_middle,BBANDS_365days_2.5STD_lower,DEMA_5days,EMA_5days,SMA_5days,KAMA_5days,WMA_5days,TRIMA_5days,DEMA_10days,EMA_10days,SMA_10days,KAMA_10days,WMA_10days,TRIMA_10days,DEMA_30days,EMA_30days,SMA_30days,KAMA_30days,WMA_30days,TRIMA_30days,DEMA_90days,EMA_90days,SMA_90days,KAMA_90days,WMA_90days,TRIMA_90days,DEMA_180days,EMA_180days,SMA_180days,KAMA_180days,WMA_180days,TRIMA_180days,DEMA_270days,EMA_270days,SMA_270days,KAMA_270days,WMA_270days,TRIMA_270days,DEMA_365days,EMA_365days,SMA_365days,KAMA_365days,WMA_365days,TRIMA_365days,ADX_5days,ADXR_5days,AROONOSC_5days,DX_5days,MFI_5days,MOM_5days,RSI_5days,WILLR_5days,ADX_10days,ADXR_10days,AROONOSC_10days,DX_10days,MFI_10days,MOM_10days,RSI_10days,WILLR_10days,ADX_30days,ADXR_30days,AROONOSC_30days,DX_30days,MFI_30days,MOM_30days,RSI_30days,WILLR_30days,ADX_90days,ADXR_90days,AROONOSC_90days,DX_90days,MFI_90days,MOM_90days,RSI_90days,WILLR_90days,ADX_180days,ADXR_180days,AROONOSC_180days,DX_180days,MFI_180days,MOM_180days,RSI_180days,WILLR_180days,ADX_270days,ADXR_270days,AROONOSC_270days,DX_270days,MFI_270days,MOM_270days,RSI_270days,WILLR_270days,ADX_365days,ADXR_365days,AROONOSC_365days,DX_365days,MFI_365days,MOM_365days,RSI_365days,WILLR_365days,MACD_macd,MACD_macdsignal,MACD_macdhist,MAMA_mama,MAMA_fama,HT_TRENDLINE,SAR,SAREXT,ULTOSC,BOP,APO,PPO,CDLDOJI,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN
1024,002049.SZ,20150907,32.12,34.19,28.83,29.05,32.03,-2.98,-9.3,193163.03,583415.7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5727611940298502,,,0,0,0
1023,002049.SZ,20150908,28.94,30.88,27.98,30.5,29.05,1.45,4.99,86388.16,252918.7549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19,34.19,,0.5379310344827585,,,0,0,0
1022,002049.SZ,20150909,30.55,32.68,29.84,32.3,30.5,1.8,5.9,235614.2,731729.0809999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.065799999999996,34.065799999999996,,0.6161971830985903,,,0,0,0
1021,002049.SZ,20150910,31.3,32.26,30.7,31.18,32.3,-1.12,-3.47,100430.53,317636.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.944084,33.944084,,-0.07692307692307762,,,0,0,0
1020,002049.SZ,20150911,31.25,32.33,31.18,31.75,31.18,0.57,1.83,79837.96,253776.05,32.643445999136034,30.956,29.268554000863965,33.20592799884804,30.956,28.706072001151956,33.76840999856005,30.956,28.143590001439946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.956,30.956,,31.36133333333333,31.22888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.29146537842188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.824802319999996,33.824802319999996,,0.4347826086956527,,,0,0,0
1019,002049.SZ,20150914,32.4,32.4,28.58,28.58,31.75,-3.17,-9.98,89238.65,265566.9816,32.79415837860138,30.862000000000002,28.92984162139862,33.43821117146851,30.862000000000002,28.285788828531494,34.08226396433564,30.862000000000002,27.641736035664366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.163999999999998,30.862000000000002,31.718671288828233,30.56933333333333,31.191111111111113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,37.353433835845856,54.33649016901013,-0.4700000000000024,47.10234278668309,-87.23404255319153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.707906273599995,33.707906273599995,,-1.0,,,0,0,0
1018,002049.SZ,20150915,28.0,28.3,25.72,25.72,28.58,-2.86,-10.01,101265.27,269430.7654,33.58240911760376,29.906,26.229590882396238,34.80787882347168,29.906,25.00412117652832,36.0333485293396,29.906,23.7786514706604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.682666666666666,29.906,30.911348314289175,28.855333333333327,30.310000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,64.17195545443656,53.9884899247926,-4.780000000000001,32.69148480958493,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.593348148127994,33.593348148127994,,-0.8837209302325579,,,0,0,0
1017,002049.SZ,20150916,25.72,28.29,25.72,28.29,25.72,2.57,9.99,89551.02,241822.343,32.36971186726559,29.104000000000003,25.838288132734412,33.458282489687456,29.104000000000003,24.749717510312546,34.546853112109325,29.104000000000003,23.661146887890684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.551777777777776,29.104000000000003,30.676725207362907,28.316666666666663,28.905555555555566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,64.17195545443656,36.979022667101006,-4.009999999999998,49.90645276859997,-61.526946107784426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.278414222202876,33.278414222202876,,1.0,,,0,0,0
1016,002049.SZ,20150917,28.3,29.71,27.5,28.01,28.29,-0.28,-0.99,108942.78,313688.5507,31.361305933311076,28.47,25.57869406668892,32.325074577748104,28.47,24.614925422251893,33.28884322218513,28.47,23.65115677781487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.397244444444443,28.371185185185183,28.47,30.48731791083885,27.951999999999998,27.85111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,23.242186402683224,60.15757088520598,-3.169999999999998,48.226650253885225,-65.71856287425146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97607765331476,32.97607765331476,,-0.13122171945701314,,,0,0,0
1015,002049.SZ,20150918,28.3,29.09,27.83,28.91,28.01,0.9,3.21,71657.09,204950.122,29.598934294544197,27.901999999999997,26.205065705455798,30.164579059392263,27.901999999999997,25.63942094060773,30.730223824240326,27.901999999999997,25.07377617575967,32.27679217113882,29.429000000000002,26.58120782886118,33.226056228185094,29.429000000000002,25.631943771814907,34.17532028523137,29.429000000000002,24.682679714768632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0212329218107,28.55079012345679,27.901999999999997,30.396937922809087,28.098666666666666,27.757777777777786,,29.429000000000002,29.429000000000002,,28.899090909090905,29.53333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.43634351001708,42.43634351001708,-40.0,23.242186402683224,58.66619441132447,-2.84,54.39424294663543,-52.24550898203591,,,,,,,,-62.33766233766232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.68583454718217,32.68583454718217,,0.4841269841269831,,,0,0,0
